19721127;1001;deposit;50000.0;2022-11-23 20:08:18.640235
19721127;1001;withdraw;50000.0;2022-11-23 20:08:18.641231
19721127;1001;withdraw;10000.0;2022-11-23 20:08:18.645771
19721127;1001;withdraw;15000.0;2022-11-23 20:08:18.645771
19721127;1001;deposit;15000.0;2022-11-23 20:08:18.646769
19721127;1001;deposit;10000.0;2022-11-23 20:08:18.646769
19740709;1004;withdraw;10000.0;2022-11-23 20:08:18.647765
19740709;1004;withdraw;15000.0;2022-11-23 20:08:18.648762
19740709;1005;deposit;15000.0;2022-11-23 20:08:18.648762
19740709;1004;deposit;10000.0;2022-11-23 20:08:18.649763
